461,Technische Fachhochschule Berlin
565,Eastern Kentucky University
486,School of Management
727,Kursk State Technical University
222,University of Oxford
169,Indian School of Business Management and Administration
800,Fachhochschule Aachen
591,Université de Pau et des Pays de l'Adour
831,Kandahar University
650,Volgograd State Pedagogical University
261,Ruhr-Universität Bochum
484,National Tainan Teachers College
558,Universidad del Turabo
428,Military University Shoumen
350,The Petroleum Institute
362,"Islamic Azad University, Maybod"
305,Hijiyama University
735,Colorado State University-Pueblo
629,Daido Institute of Technology
375,University of South Carolina - Beaufort
839,University Campus Suffolk
234,School of Planning and Architecture
432,Sunway University College
710,International University of Novi Pazar
638,Providence University
964,Fachhochschule Regensburg
738,"Johnson & Wales University, Charleston"
854,Uzima University College 
525,University of Delaware
233,York University
475,University of Maryland Eastern Shore
415,Hampton College
159,Universidad Nacional de Río Cuarto
999,Hogeschool Antwerpen
730,First Nations University of Canada
454,Universidad Andina Simón Bolívar
526,Hiroshima City University
971,California Lutheran University
780,Universidade Católica de Salvador
459,London College of Science & Technology
342,Montserrat College of Art
413,Chu Hai College
213,University of Colorado at Denver
764,Semey State University
652,Universidad del Bío-Bío
182,Hubert Kairuki Memorial University
303,Universidad Internacional Menéndez Pelayo
337,Universidade Cidade de São Paulo
959,Kingston College
435,Multnomah Bible College
